X_1,X_2,X_3,X_4,X_5,X_6
1,2,3,1,2,3
2,2,1,1,3,3
3,1,2,2,1,3
3,2,1,1,3,3
3,1,2,3,1,2
2,2,1,3,2,1
2,1,3,3,1,2
2,3,1,2,3,1
1,3,2,2,1,1
2,2,3,3,1,1
1,2,3,3,2,1
1,3,2,1,3,2
3,3,1,2,3,1
3,1,2,2,1,3
2,2,1,1,2,3
2,1,3,3,1,2
3,1,2,3,1,2
2,2,3,3,1,1
3,3,1,2,3,1
3,2,1,1,3,3
3,1,2,3,1,2
1,3,2,1,3,2
1,1,2,2,1,3
3,1,2,3,1,2
3,2,1,3,2,1
2,1,3,3,2,2
2,1,3,3,2,2
3,1,2,3,1,2
3,1,2,2,1,3
2,3,1,1,3,2
1,2,3,3,2,1
1,3,2,1,3,2
3,3,1,2,3,1
3,3,2,2,1,1
3,1,2,3,1,2
3,3,1,2,3,1
2,1,3,2,1,3
3,1,2,3,1,2
3,1,2,2,1,3
1,3,2,2,1,1
3,1,2,2,1,3
2,3,1,1,3,2
3,3,2,1,3,2
2,1,3,2,1,3
1,1,2,2,1,3
1,1,2,3,1,2
1,1,3,3,2,2
1,3,2,2,3,1
2,1,3,2,1,3
1,2,3,3,1,1
2,1,3,2,1,3
2,3,1,2,3,1
2,2,1,1,2,3
2,3,1,2,3,1
2,1,3,2,1,3
2,3,1,1,2,2
3,2,1,3,2,1
2,3,1,1,2,2
2,1,3,3,1,2
3,1,2,2,3,3
3,3,2,2,3,1
1,1,2,2,1,3
2,2,3,1,2,3
1,3,2,2,3,1
2,2,1,3,2,1
1,2,3,3,2,1
2,2,3,3,2,1
3,3,1,1,3,2
2,3,1,2,3,1
2,2,3,3,1,1
3,3,2,1,3,2
2,1,3,3,1,2
1,3,2,2,1,1
2,3,1,1,2,2
1,2,3,3,2,1
1,1,2,3,1,2
1,1,3,2,1,3
1,3,2,1,3,2
2,2,1,3,2,1
2,2,3,1,2,3
3,2,1,3,2,1
1,1,3,3,1,2
2,3,1,1,3,2
3,3,2,1,3,2
2,2,1,3,2,1
2,2,1,3,2,1
1,2,3,1,2,3
2,2,1,1,2,3
1,3,2,1,3,2
3,1,2,2,3,3
1,1,3,3,2,2
3,1,2,3,1,2
1,2,3,1,2,3
2,1,3,2,1,3
1,1,3,2,1,3
1,3,2,1,3,2
3,1,2,2,1,3
1,3,2,2,1,1
1,2,3,3,2,1
1,1,3,3,2,2
